CITY,TOTAL,PENDING,SOLD
"Dallas","null","null","null"
"Houston","2074","1","2073"
"San Antonio","1251","1","1250"
"Austin","795","0","795"
"Fort Worth","804","796","8"
"El Paso","471","470","1"
"McAllen","60","0","60"
"Denton","null","null","null"
"Arlington","263","262","1"
"Corpus Christi","252","1","251"
"Plano","null","null","null"
"Lubbock","160","157","3"
"Laredo","null","null","null"
"Killeen","155","0","155"
"Irving","null","null","null"
"Garland","null","null","null"
"McKinney","235","233","2"
"Brownsville","61","0","61"
"College Station","146","0","146"
"Amarillo","222","0","222"
"Grand Prairie","95","94","1"
"Waco","132","129","3"
"Frisco","null","null","null"
"Port Arthur","42","14","28"
"Pasadena","50","0","50"
"Beaumont","123","27","96"
"Odessa","12","1","11"
"Midland","130","0","130"
"Mesquite","null","null","null"
"Tyler","148","39","109"
"Harlingen","47","1","46"
"Carrollton","null","null","null"
"Round Rock","138","0","138"
"Pearland","101","0","101"
"Richardson","null","null","null"
"Abilene","null","null","null"
"Texas City","70","0","70"
"The Woodlands","159","0","159"
"Lewisville","92","91","1"
"League City","114","1","113"
"Temple","119","4","115"
"Allen","null","null","null"
"Longview","73","2","71"
"San Angelo","null","null","null"
"Wichita Falls","null","null","null"
"Edinburg","72","0","72"
"Sugar Land","117","0","117"
"Mission","68","9","59"
"Conroe","208","0","208"
"Bryan","148","2","146"
"Texarkana","38","5","33"
"Pharr","18","0","18"
"New Braunfels","250","0","250"
"Baytown","103","1","102"
"Flower Mound","null","null","null"
"Lake Jackson","25","0","25"
"Cedar Park","75","0","75"
"Atascocita","null","null","null"
"Missouri City","97","0","97"
"San Marcos","51","0","51"
"Georgetown","186","0","186"
"North Richland Hills","null","null","null"
"Mansfield","null","null","null"
"Victoria","58","0","58"
"Sherman","null","null","null"
"Pflugerville","99","0","99"
"Rowlett","null","null","null"
"Spring","429","0","429"
"Euless","29","26","3"
"Eagle Pass","1","0","1"
"Grapevine","null","null","null"
"DeSoto","null","null","null"
"Wylie","null","null","null"
"Bedford","null","null","null"
"Leander","92","0","92"
"Cedar Hill","null","null","null"
"Rio Grande City","5","0","5"
"Keller","null","null","null"
"Galveston","83","0","83"
"Little Elm","null","null","null"
"Burleson","82","81","1"
"Lufkin","50","3","47"
"Del Rio","null","null","null"
"Haltom City","null","null","null"
"Rockwall","null","null","null"
"Kyle","68","0","68"
"The Colony","null","null","null"
"Weatherford","null","null","null"
"Coppell","44","41","3"
"Channelview","14","0","14"
"Weslaco","37","0","37"
"Schertz","56","0","56"
"Friendswood","50","0","50"
"Huntsville","43","0","43"
"Duncanville","20","19","1"
"Lancaster","null","null","null"
"Hurst","null","null","null"
"Mission Bend","null","null","null"
"Rosenberg","34","0","34"
"Forney","112","111","1"
