event_message,id,identifier,method,path,status_code,timestamp
POST | 200 | 107.22.120.17 | 939559bc9ee3093e | https://ygkbhfdqvrluegsrjpaj.supabase.co/storage/v1/object/list/lead-uploads | supabase-api/9a15f5d,127a6039-9578-4a6f-ab7f-02a250f45878,ygkbhfdqvrluegsrjpaj,POST,/storage/v1/object/list/lead-uploads,200,1746166174274000
GET | 200 | 3.90.42.187 | 939559b05e618018 | https://ygkbhfdqvrluegsrjpaj.supabase.co/storage/v1/bucket | supabase-api/9a15f5d,4d67c1a5-d0d1-4f4e-ab98-b8068f6a3631,ygkbhfdqvrluegsrjpaj,GET,/storage/v1/bucket,200,1746166172331000
POST | 200 | 70.133.249.74 | 93955947f996476f | https://ygkbhfdqvrluegsrjpaj.supabase.co/rest/v1/rpc/list_dynamic_lead_tables | node,4c09836f-3e73-41b8-b77a-d96b1a36607b,ygkbhfdqvrluegsrjpaj,POST,/rest/v1/rpc/list_dynamic_lead_tables,200,1746166155658000
POST | 200 | 70.133.249.74 | 939558f1dc9fe873 | https://ygkbhfdqvrluegsrjpaj.supabase.co/storage/v1/object/list/lead-uploads | node,5b77639d-2c2a-4686-8215-626fedb5b574,ygkbhfdqvrluegsrjpaj,POST,/storage/v1/object/list/lead-uploads,200,1746166141924000
POST | 200 | 70.133.249.74 | 939558eedaa3e873 | https://ygkbhfdqvrluegsrjpaj.supabase.co/rest/v1/rpc/list_dynamic_lead_tables | node,158792af-3121-4008-8326-b23b4ae48ebc,ygkbhfdqvrluegsrjpaj,POST,/rest/v1/rpc/list_dynamic_lead_tables,200,1746166141407000
POST | 200 | 70.133.249.74 | 939558ec68cce873 | https://ygkbhfdqvrluegsrjpaj.supabase.co/storage/v1/object/list/lead-uploads | node,92211d78-857e-4b34-ba9d-7672528a9c5c,ygkbhfdqvrluegsrjpaj,POST,/storage/v1/object/list/lead-uploads,200,1746166141050000
POST | 200 | 70.133.249.74 | 939558ec5d1b0c2b | https://ygkbhfdqvrluegsrjpaj.supabase.co/rest/v1/rpc/list_dynamic_lead_tables | node,903afb6e-84b4-4ad5-8527-3a4862f41318,ygkbhfdqvrluegsrjpaj,POST,/rest/v1/rpc/list_dynamic_lead_tables,200,1746166141012000
"GET | 200 | 70.133.249.74 | 9395581089472c9c | https://ygkbhfdqvrluegsrjpaj.supabase.co/rest/v1/senders?select=* | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",bf35c235-0f82-4f07-8fe6-01a3cd01a17c,ygkbhfdqvrluegsrjpaj,GET,/rest/v1/senders,200,1746166105819000
"GET | 101 | 70.133.249.74 | 9395580f3a56a912 | https://ygkbhfdqvrluegsrjpaj.supabase.co/realtime/v1/websocket?apikey=REDACTED&vsn=1.0.0 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",5525b685-95b0-44ca-9bbe-f2b0c1c8d4d8,ygkbhfdqvrluegsrjpaj,GET,/realtime/v1/websocket,101,1746166105670000
"GET | 200 | 70.133.249.74 | 9395580f285f2c9c | https://ygkbhfdqvrluegsrjpaj.supabase.co/rest/v1/campaigns?select=*&order=created_at.desc | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",28140f3c-d3c6-445c-bac0-80998ab5cf75,ygkbhfdqvrluegsrjpaj,GET,/rest/v1/campaigns,200,1746166105657000
GET | 200 | 3.85.51.37 | 93955529095d13bb | https://ygkbhfdqvrluegsrjpaj.supabase.co/rest/v1/ | node,d445d3cb-33b5-40c2-9180-ac7129fc2d99,ygkbhfdqvrluegsrjpaj,GET,/rest/v1/,200,1746165986795000
GET | 200 | 3.85.51.37 | 93955527481613bb | https://ygkbhfdqvrluegsrjpaj.supabase.co/rest/v1/ | node,88fafe8f-7bb1-4aed-bbf7-502f2e6b8aba,ygkbhfdqvrluegsrjpaj,GET,/rest/v1/,200,1746165986598000
POST | 401 | 70.133.249.74 | 939552676d98e976 | https://ygkbhfdqvrluegsrjpaj.supabase.co/rest/v1/rpc/list_dynamic_lead_tables | node,c4259dc5-ab19-4cf3-882e-b2b677bb67c6,ygkbhfdqvrluegsrjpaj,POST,/rest/v1/rpc/list_dynamic_lead_tables,401,1746165873834000
POST | 400 | 70.133.249.74 | 9395523698da461e | https://ygkbhfdqvrluegsrjpaj.supabase.co/storage/v1/object/list/lead-uploads | node,eae649d2-e032-45c1-bee9-90c042aaaa8c,ygkbhfdqvrluegsrjpaj,POST,/storage/v1/object/list/lead-uploads,400,1746165866159000
POST | 400 | 70.133.249.74 | 93955236884ff068 | https://ygkbhfdqvrluegsrjpaj.supabase.co/storage/v1/object/list/lead-uploads | node,f8cf4947-a2d6-4835-8be8-286cf67edb1a,ygkbhfdqvrluegsrjpaj,POST,/storage/v1/object/list/lead-uploads,400,1746165866137000
POST | 401 | 70.133.249.74 | 93955236a8a46c43 | https://ygkbhfdqvrluegsrjpaj.supabase.co/rest/v1/rpc/list_dynamic_lead_tables | node,4fbfc089-8f61-4014-b597-1d19caaca454,ygkbhfdqvrluegsrjpaj,POST,/rest/v1/rpc/list_dynamic_lead_tables,401,1746165866034000
POST | 401 | 70.133.249.74 | 939552367d997d5a | https://ygkbhfdqvrluegsrjpaj.supabase.co/rest/v1/rpc/list_dynamic_lead_tables | node,66ad39c8-217c-49ef-adc6-e063ab0d9e13,ygkbhfdqvrluegsrjpaj,POST,/rest/v1/rpc/list_dynamic_lead_tables,401,1746165866007000
"GET | 200 | 70.133.249.74 | 9395517cee552e17 | https://ygkbhfdqvrluegsrjpaj.supabase.co/rest/v1/senders?select=* | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",c06ec712-f1f2-439e-b4e5-8d085152d993,ygkbhfdqvrluegsrjpaj,GET,/rest/v1/senders,200,1746165836446000
"GET | 200 | 70.133.249.74 | 9395517b9d6a2e17 | https://ygkbhfdqvrluegsrjpaj.supabase.co/rest/v1/campaigns?select=*&order=created_at.desc | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",fe67f4d5-504d-40ce-a223-fb885775e841,ygkbhfdqvrluegsrjpaj,GET,/rest/v1/campaigns,200,1746165836291000
"GET | 101 | 70.133.249.74 | 9395517b5e566c5e | https://ygkbhfdqvrluegsrjpaj.supabase.co/realtime/v1/websocket?apikey=REDACTED&vsn=1.0.0 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",08ecf9ec-0e72-45ba-a570-7b9c8e685c09,ygkbhfdqvrluegsrjpaj,GET,/realtime/v1/websocket,101,1746165836256000
"GET | 200 | 70.133.249.74 | 93954e921d11f0a2 | https://ygkbhfdqvrluegsrjpaj.supabase.co/rest/v1/senders?select=* | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",7a48b2e0-ea7d-43bd-8807-f13c96e97036,ygkbhfdqvrluegsrjpaj,GET,/rest/v1/senders,200,1746165716946000
"GET | 200 | 70.133.249.74 | 93954e871acff0a2 | https://ygkbhfdqvrluegsrjpaj.supabase.co/rest/v1/senders?select=* | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0242235e-1ffd-41ed-bf29-49c2de7af861,ygkbhfdqvrluegsrjpaj,GET,/rest/v1/senders,200,1746165716720000
"GET | 200 | 70.133.249.74 | 93954e870ab0f0a2 | https://ygkbhfdqvrluegsrjpaj.supabase.co/rest/v1/campaigns?select=*&order=created_at.desc | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",cb73df80-6b96-4908-9770-833c1ae16349,ygkbhfdqvrluegsrjpaj,GET,/rest/v1/campaigns,200,1746165715575000
"GET | 200 | 70.133.249.74 | 93954e852fcff0a2 | https://ygkbhfdqvrluegsrjpaj.supabase.co/rest/v1/campaigns?select=*&order=created_at.desc | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",85c84039-bab5-4937-ae2e-472c55995da7,ygkbhfdqvrluegsrjpaj,GET,/rest/v1/campaigns,200,1746165715029000
"GET | 101 | 70.133.249.74 | 93954e8548d6485d | https://ygkbhfdqvrluegsrjpaj.supabase.co/realtime/v1/websocket?apikey=REDACTED&vsn=1.0.0 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",aefe4b76-c7c3-4af5-b829-56478a1cf4ed,ygkbhfdqvrluegsrjpaj,GET,/realtime/v1/websocket,101,1746165714961000
POST | 200 | 3.90.42.187 | 93954c442bbc05da | https://ygkbhfdqvrluegsrjpaj.supabase.co/storage/v1/object/list/lead-uploads | supabase-api/9a15f5d,bd386718-9d7e-4201-ba16-705a3a3c6a01,ygkbhfdqvrluegsrjpaj,POST,/storage/v1/object/list/lead-uploads,200,1746165622563000
"POST | 200 | 70.133.249.74 | 93954c41aaff2cc6 | https://ygkbhfdqvrluegsrjpaj.supabase.co/storage/v1/object/lead-uploads/.emptyFolderPlaceholder | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",6f6427ac-e049-41cd-9115-ebeed303cfa8,ygkbhfdqvrluegsrjpaj,POST,/storage/v1/object/lead-uploads/.emptyFolderPlaceholder,200,1746165622271000
"OPTIONS | 200 | 70.133.249.74 | 93954c416ae72cc6 | https://ygkbhfdqvrluegsrjpaj.supabase.co/storage/v1/object/lead-uploads/.emptyFolderPlaceholder | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",e1a0ef31-05f6-425e-b7a5-0048f263d01b,ygkbhfdqvrluegsrjpaj,OPTIONS,/storage/v1/object/lead-uploads/.emptyFolderPlaceholder,200,1746165622001000
POST | 200 | 3.85.51.37 | 93954c3f8b3f68ed | https://ygkbhfdqvrluegsrjpaj.supabase.co/storage/v1/object/list/lead-uploads | supabase-api/9a15f5d,ca213f3b-87e5-4a59-968b-a31976ec8f64,ygkbhfdqvrluegsrjpaj,POST,/storage/v1/object/list/lead-uploads,200,1746165621809000
DELETE | 200 | 3.85.51.37 | 93954c3dffd4c96f | https://ygkbhfdqvrluegsrjpaj.supabase.co/storage/v1/object/lead-uploads | supabase-api/9a15f5d,e78742e3-2c29-4eca-8262-67ae6fa2da54,ygkbhfdqvrluegsrjpaj,DELETE,/storage/v1/object/lead-uploads,200,1746165621582000
POST | 200 | 107.22.120.17 | 93954bd41e1a0592 | https://ygkbhfdqvrluegsrjpaj.supabase.co/storage/v1/object/list/lead-uploads | supabase-api/9a15f5d,950719f4-675e-4e26-b589-4ccfb43d42c2,ygkbhfdqvrluegsrjpaj,POST,/storage/v1/object/list/lead-uploads,200,1746165604786000
