detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,516a06dd-b846-410f-827c-b93701335776,ygkbhfdqvrluegsrjpaj,1746551824812000
null,LOG,connection received: host=::1 port=17845,null,0328421d-f486-4755-bda8-8af02a427b91,ygkbhfdqvrluegsrjpaj,1746551824811000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_manager SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,dbfe0b60-10f3-4fbf-b5c3-f6137fef8f7e,ygkbhfdqvrluegsrjpaj,1746551822194000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,28e4c62e-8185-480e-91a4-befea385e90a,ygkbhfdqvrluegsrjpaj,1746551822194000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_checker SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,c6150d4c-41ee-4d0a-9e50-0e85965632d7,ygkbhfdqvrluegsrjpaj,1746551822192000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,7f58acb6-4a98-4f83-af08-0a08c5df7b54,ygkbhfdqvrluegsrjpaj,1746551822192000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_manager_pub SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,e4de82b0-445c-49ce-8af4-5261f2c28e99,ygkbhfdqvrluegsrjpaj,1746551822190000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,b43f8116-0873-4aeb-bced-e1390fd5dd58,ygkbhfdqvrluegsrjpaj,1746551822190000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,1ab2c6ce-fdd8-4efc-98a3-4826049226dc,ygkbhfdqvrluegsrjpaj,1746551822189000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_manager_pub SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,004d7094-4b4a-4d69-9c82-a09b43ef6fbc,ygkbhfdqvrluegsrjpaj,1746551822189000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_checker SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,0eff086a-c899-4e9e-86fa-dbfaab9f6aea,ygkbhfdqvrluegsrjpaj,1746551822187000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_subscription_manager SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,d250205e-1a0f-425a-a552-c6713b8ed3d3,ygkbhfdqvrluegsrjpaj,1746551822187000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,e882c2fd-ff59-4466-a1e2-1c0e341a6fdd,ygkbhfdqvrluegsrjpaj,1746551822187000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,a5793a9f-0286-4541-8362-b6952ad93203,ygkbhfdqvrluegsrjpaj,1746551822187000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_rls SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,246660e0-d63a-4825-8ee0-4979541d8dc6,ygkbhfdqvrluegsrjpaj,1746551822176000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,47fa9e1c-5ed7-42c9-bcf7-fff5bcdbdc7a,ygkbhfdqvrluegsrjpaj,1746551822176000
null,LOG,connection received: host=2600:1f10:4c1b:cc00:6d60:b89e:8514:8190 port=37684,null,574a5f47-9a98-4e6b-9a00-385699a53bdd,ygkbhfdqvrluegsrjpaj,1746551822051000
null,LOG,connection received: host=2600:1f10:4c1b:cc00:6d60:b89e:8514:8190 port=37702,null,2acde624-83e6-4df3-87ad-c9dd2755aca4,ygkbhfdqvrluegsrjpaj,1746551822051000
null,LOG,connection received: host=2600:1f10:4c1b:cc00:6d60:b89e:8514:8190 port=37720,null,1daae5c1-a84f-4e3b-a809-9f5bd9adec16,ygkbhfdqvrluegsrjpaj,1746551822051000
null,LOG,connection received: host=2600:1f10:4c1b:cc00:6d60:b89e:8514:8190 port=37700,null,75bc1070-59ce-43ba-93bd-2ab5a197e7e6,ygkbhfdqvrluegsrjpaj,1746551822051000
null,LOG,connection received: host=2600:1f10:4c1b:cc00:6d60:b89e:8514:8190 port=37644,null,46eaecda-e3a9-42a7-a4bf-c287759132a7,ygkbhfdqvrluegsrjpaj,1746551822050000
null,LOG,connection received: host=2600:1f10:4c1b:cc00:6d60:b89e:8514:8190 port=37672,null,f2bc9d0f-3cec-4ff5-b50a-41b0071a51f5,ygkbhfdqvrluegsrjpaj,1746551822049000
null,LOG,connection received: host=2600:1f10:4c1b:cc00:6d60:b89e:8514:8190 port=37646,null,8ed4605c-62c4-46f5-8327-ca3bc72b520e,ygkbhfdqvrluegsrjpaj,1746551822049000
null,LOG,connection received: host=2600:1f10:4c1b:cc00:6d60:b89e:8514:8190 port=34392,null,0b903113-4380-4d25-a9d9-0659b31330c3,ygkbhfdqvrluegsrjpaj,1746551821003000
null,LOG,connection received: host=2600:1f10:4c1b:cc00:6d60:b89e:8514:8190 port=34378,null,1ff4f1a8-8898-4707-b3c1-0cf74373f12c,ygkbhfdqvrluegsrjpaj,1746551820965000
null,LOG,connection received: host=2600:1f10:4c1b:cc00:6d60:b89e:8514:8190 port=34364,null,f3f0af4e-f0ff-422f-ae74-2d1d85b4de8f,ygkbhfdqvrluegsrjpaj,1746551820925000
null,LOG,connection received: host=2600:1f10:4c1b:cc00:6d60:b89e:8514:8190 port=34360,null,91f7c3ec-7995-4cc0-8079-d3af1c8f3721,ygkbhfdqvrluegsrjpaj,1746551820888000
null,LOG,connection received: host=2600:1f10:4c1b:cc00:6d60:b89e:8514:8190 port=34348,null,502958b6-80e3-4044-aa56-bf185e383b74,ygkbhfdqvrluegsrjpaj,1746551820851000
null,LOG,connection received: host=2600:1f10:4c1b:cc00:6d60:b89e:8514:8190 port=34346,null,5debe93b-3624-4d0b-b7c4-e79226d93432,ygkbhfdqvrluegsrjpaj,1746551820813000
null,LOG,connection received: host=2600:1f10:4c1b:cc00:6d60:b89e:8514:8190 port=34330,null,eeb63c87-701d-4118-8bfe-982f72f59578,ygkbhfdqvrluegsrjpaj,1746551820774000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,46c26f12-a625-40c6-86ce-52bdcf33fc87,ygkbhfdqvrluegsrjpaj,1746551818003000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,61bde930-788c-47e6-a413-c45711390068,ygkbhfdqvrluegsrjpaj,1746551818003000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,7c46850c-cb26-4295-b00b-102ab41a35eb,ygkbhfdqvrluegsrjpaj,1746551815989000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,52818c80-1217-4c04-9174-05b5194f616a,ygkbhfdqvrluegsrjpaj,1746551815989000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,52247b2a-f58c-492d-8475-8d3f5e201034,ygkbhfdqvrluegsrjpaj,1746551815986000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,63acacee-6c34-48a3-8b19-857824290fa0,ygkbhfdqvrluegsrjpaj,1746551815986000
null,LOG,connection received: host=2600:1f18:2a66:6e01:33e0:6280:4fe8:fcab port=58584,null,3bf5caa0-7d96-42bd-99f4-a35df8e9e49c,ygkbhfdqvrluegsrjpaj,1746551815911000
null,LOG,connection received: host=2600:1f18:2a66:6e00:dbd7:8060:2186:d8a8 port=44436,null,2f2ce2b2-4941-4a6a-906e-078abdf1ebe8,ygkbhfdqvrluegsrjpaj,1746551815910000
null,LOG,"checkpoint complete: wrote 55 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.420 s, sync=0.002 s, total=5.442 s; sync files=38, longest=0.001 s, average=0.001 s; distance=190 kB, estimate=6390 kB",null,7a432d0f-6934-4207-82e0-3552381ee088,ygkbhfdqvrluegsrjpaj,1746551780893000
null,LOG,checkpoint starting: time,null,8a6b7921-27a9-4f61-a229-db4348680cd3,ygkbhfdqvrluegsrjpaj,1746551775452000
null,LOG,"connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,faae0473-ae21-4b07-a3e8-3f0b4c6b967e,ygkbhfdqvrluegsrjpaj,1746551769340000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,887b8702-4144-424d-b1da-c637aa1cf838,ygkbhfdqvrluegsrjpaj,1746551769340000
null,LOG,"connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,5f87f183-3607-4e4c-b790-12f2e7314034,ygkbhfdqvrluegsrjpaj,1746551769338000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,8ebe7a53-fd53-43d7-baa4-b510419c5d8b,ygkbhfdqvrluegsrjpaj,1746551769338000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,5f79bf50-2857-4918-969f-e2b843b6b673,ygkbhfdqvrluegsrjpaj,1746551769328000
null,LOG,"connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,03346f39-53fd-49ed-9ceb-6f91840d7f5d,ygkbhfdqvrluegsrjpaj,1746551769328000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,70c9ebe0-6b03-481e-a3ce-eeb41f530187,ygkbhfdqvrluegsrjpaj,1746551769122000
null,LOG,"connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,0963bebf-cd41-4153-8431-610f1d3c3be5,ygkbhfdqvrluegsrjpaj,1746551769122000
